
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-5.40,	-1.00,	-3.00,	3.60,	0.00,	31.48,	0.00,	0,	26.45,	4.29,	34
0.00,	-6,	-5.80,	-1.00,	-3.00,	2.89,	0.00,	30.00,	0.00,	0,	25.51,	3.97,	35
0.00,	-5,	-6.20,	-1.00,	-4.00,	1.18,	0.00,	23.07,	0.00,	0,	25.51,	3.14,	34
0.00,	-3,	-4.80,	-1.00,	-3.00,	1.92,	0.00,	27.26,	0.00,	0,	27.72,	3.71,	34
0.00,	-3,	-4.40,	-1.00,	-2.00,	-0.28,	0.00,	26.23,	0.00,	0,	23.81,	3.57,	34
0.00,	-8,	-5.00,	-1.00,	-3.00,	2.70,	0.00,	20.96,	0.00,	0,	26.60,	2.85,	34
0.00,	-1,	-4.00,	-1.00,	-2.00,	3.08,	0.00,	26.98,	0.00,	0,	25.00,	3.67,	34
0.00,	-4,	-3.80,	-1.00,	-2.00,	-2.88,	0.00,	28.17,	0.00,	0,	24.75,	3.84,	34
0.00,	-7,	-4.60,	-1.00,	-2.00,	2.63,	0.00,	27.50,	0.00,	0,	25.00,	3.74,	34
0.00,	-1,	-4.20,	-1.00,	-2.00,	2.36,	0.00,	28.77,	0.00,	0,	24.75,	3.92,	34
0.00,	-3,	-3.20,	-1.00,	-1.00,	1.19,	0.00,	23.41,	0.00,	0,	25.77,	3.19,	34
0.00,	-5,	-4.00,	-1.00,	-1.00,	-1.39,	0.00,	25.95,	0.00,	0,	25.77,	3.53,	34
0.00,	-6,	-4.40,	-1.00,	-2.00,	1.14,	0.00,	37.31,	0.00,	0,	20.43,	4.55,	38
0.00,	-7,	-4.40,	-1.00,	-2.00,	-0.22,	0.00,	26.14,	0.00,	0,	26.65,	3.56,	34
0.00,	-3,	-4.80,	-2.00,	-2.00,	-0.14,	0.00,	165.39,	0.00,	0,	23.43,	22.52,	34
0.00,	-5,	-5.20,	-1.00,	-2.00,	5.54,	0.00,	31.89,	0.00,	0,	25.38,	4.22,	35
0.00,	-3,	-4.80,	-1.00,	-2.00,	-0.27,	0.00,	27.96,	0.00,	0,	28.41,	3.50,	37
0.00,	-7,	-5.00,	-1.00,	-2.00,	-1.33,	0.00,	35.90,	0.00,	0,	22.30,	4.49,	37
0.00,	-1,	-3.80,	-1.00,	-2.00,	-1.89,	0.00,	33.84,	0.00,	0,	22.22,	4.35,	36
0.00,	-5,	-4.20,	-1.00,	-2.00,	2.66,	0.00,	15.19,	0.00,	0,	25.51,	2.07,	34
0.00,	-8,	-4.80,	-2.00,	-2.00,	1.12,	0.00,	27.67,	0.00,	0,	23.58,	3.88,	33
0.00,	-1,	-4.40,	-1.00,	-2.00,	0.18,	0.00,	42.00,	0.00,	0,	27.62,	4.63,	42
0.00,	-8,	-4.60,	-2.00,	-2.00,	-4.01,	0.00,	31.79,	0.00,	0,	28.62,	3.98,	37
0.00,	-5,	-5.40,	-2.00,	-2.00,	-0.09,	0.00,	31.59,	0.00,	0,	25.13,	4.06,	36
0.00,	-3,	-5.00,	-2.00,	-2.00,	3.21,	0.00,	27.11,	0.00,	0,	27.93,	3.59,	35
0.00,	-2,	-3.80,	-1.00,	-2.00,	2.90,	0.00,	33.38,	0.00,	0,	26.32,	4.42,	35
0.00,	-7,	-5.00,	-2.00,	-2.00,	-1.40,	0.00,	25.16,	0.00,	0,	26.19,	3.24,	36
0.00,	-5,	-4.40,	-1.00,	-2.00,	2.92,	0.00,	34.49,	0.00,	0,	22.86,	4.20,	38
0.00,	-6,	-4.60,	-1.00,	-2.00,	-0.63,	0.00,	29.81,	0.00,	0,	24.63,	3.83,	36
0.00,	-2,	-4.40,	-1.00,	-2.00,	0.95,	0.00,	30.86,	0.00,	0,	27.09,	4.08,	35
0.00,	-3,	-4.60,	-1.00,	-2.00,	4.80,	0.00,	40.24,	0.00,	0,	24.05,	4.90,	38
