
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-2.20,	-3.00,	0.00,	5.81,	0.00,	0.00,	16.21,	0.00,	0,	25.38,	2.27,	33
0.00,	-7,	-2.80,	-3.00,	0.00,	4.02,	0.00,	0.00,	13.45,	0.00,	0,	25.97,	1.83,	34
0.00,	-3,	-2.80,	-2.00,	0.00,	4.30,	0.00,	0.00,	16.35,	0.00,	0,	24.39,	2.23,	34
0.00,	-3,	-3.00,	-3.00,	0.00,	4.85,	0.00,	0.00,	14.67,	0.00,	0,	25.13,	2.06,	33
0.00,	-3,	-3.60,	-3.00,	0.00,	4.12,	0.00,	0.00,	12.74,	0.00,	0,	24.27,	1.79,	33
0.00,	-1,	-3.40,	-3.00,	0.00,	1.55,	0.00,	0.00,	15.54,	0.00,	0,	24.75,	2.18,	33
0.00,	-5,	-3.00,	-3.00,	0.00,	4.15,	0.00,	0.00,	14.71,	0.00,	0,	25.00,	2.06,	33
0.00,	-4,	-3.20,	-3.00,	0.00,	2.98,	0.00,	0.00,	10.91,	0.00,	0,	24.15,	1.53,	33
0.00,	-5,	-3.60,	-2.00,	0.00,	-1.62,	0.00,	0.00,	14.10,	0.00,	0,	24.75,	1.98,	33
0.00,	-3,	-3.60,	-3.00,	0.00,	6.02,	0.00,	0.00,	12.35,	0.00,	0,	25.75,	1.73,	33
0.00,	-4,	-4.20,	-3.00,	0.00,	3.11,	0.00,	0.00,	15.48,	0.00,	0,	25.23,	2.17,	33
0.00,	-5,	-4.20,	-3.00,	0.00,	1.30,	0.00,	0.00,	14.84,	0.00,	0,	23.80,	2.08,	33
0.00,	-3,	-4.00,	-3.00,	0.00,	4.55,	0.00,	0.00,	11.15,	0.00,	0,	26.32,	1.56,	33
0.00,	-3,	-3.60,	-3.00,	0.00,	4.21,	0.00,	0.00,	14.94,	0.00,	0,	25.38,	2.10,	33
0.00,	-2,	-3.40,	-3.00,	0.00,	3.34,	0.00,	0.00,	13.13,	0.00,	0,	25.38,	1.79,	34
0.00,	0,	-2.60,	-3.00,	0.00,	6.30,	0.00,	0.00,	15.51,	0.00,	0,	24.39,	2.18,	33
0.00,	-3,	-2.20,	-3.00,	0.00,	3.34,	0.00,	0.00,	15.38,	0.00,	0,	25.13,	2.16,	33
0.00,	-1,	-1.80,	-2.00,	0.00,	3.66,	0.00,	0.00,	11.42,	0.00,	0,	25.51,	1.60,	33
