
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-4,	-3.20,	-3.00,	0.00,	6.26,	0.00,	0.00,	14.36,	0.00,	0,	23.81,	2.01,	33
0.00,	-6,	-3.80,	-2.00,	-1.00,	-1.31,	0.00,	0.00,	12.68,	0.00,	0,	25.13,	1.83,	32
0.00,	0,	-3.80,	-2.00,	0.00,	5.38,	0.00,	0.00,	11.35,	0.00,	0,	24.15,	1.59,	33
0.00,	0,	-3.40,	-3.00,	0.00,	9.29,	0.00,	0.00,	14.84,	0.00,	0,	24.15,	2.08,	33
0.00,	-4,	-2.80,	-3.00,	0.00,	2.82,	0.00,	0.00,	14.41,	0.00,	0,	24.27,	2.02,	33
0.00,	-2,	-2.40,	-3.00,	0.00,	5.98,	0.00,	0.00,	11.49,	0.00,	0,	23.36,	1.66,	32
0.00,	-3,	-1.80,	-3.00,	1.00,	1.98,	0.00,	0.00,	14.46,	0.00,	0,	25.64,	2.03,	33
0.00,	0,	-1.80,	-3.00,	1.00,	5.09,	0.00,	0.00,	14.21,	0.00,	0,	25.00,	1.99,	33
0.00,	-4,	-2.60,	-3.00,	0.00,	3.19,	0.00,	0.00,	9.21,	0.00,	0,	25.51,	1.33,	32
0.00,	-1,	-2.00,	-3.00,	0.00,	4.76,	0.00,	0.00,	14.40,	0.00,	0,	23.91,	2.02,	33
0.00,	-1,	-1.80,	-2.00,	0.00,	2.38,	0.00,	0.00,	14.26,	0.00,	0,	24.27,	2.00,	33
0.00,	-1,	-1.40,	-2.00,	0.00,	3.62,	0.00,	0.00,	8.48,	0.00,	0,	25.00,	1.19,	33
0.00,	-5,	-2.40,	-3.00,	0.00,	5.25,	0.00,	0.00,	14.70,	0.00,	0,	24.16,	2.06,	33
0.00,	-4,	-2.40,	-2.00,	0.00,	2.70,	0.00,	0.00,	14.54,	0.00,	0,	24.51,	1.98,	34
0.00,	0,	-2.20,	-2.00,	0.00,	6.82,	0.00,	0.00,	12.06,	0.00,	0,	24.39,	1.69,	33
0.00,	-3,	-2.60,	-3.00,	0.00,	1.23,	0.00,	0.00,	15.28,	0.00,	0,	25.91,	2.08,	34
0.00,	-1,	-2.60,	-3.00,	0.00,	3.27,	0.00,	0.00,	10.42,	0.00,	0,	25.25,	1.46,	33
0.00,	-3,	-2.20,	-2.00,	0.00,	3.59,	0.00,	0.00,	13.35,	0.00,	0,	24.39,	1.93,	32
0.00,	0,	-1.40,	-2.00,	1.00,	5.07,	0.00,	0.00,	14.30,	0.00,	0,	23.92,	2.01,	33
0.00,	-3,	-2.00,	-2.00,	0.00,	4.82,	0.00,	0.00,	12.98,	0.00,	0,	24.21,	1.88,	32
0.00,	-2,	-1.80,	-2.00,	0.00,	5.36,	0.00,	0.00,	13.78,	0.00,	0,	23.70,	1.99,	32
