
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-3.20,	-2.00,	0.00,	-2.71,	0.00,	29.20,	0.00,	0,	26.74,	4.10,	33
0.00,	2,	-2.60,	-2.00,	0.00,	-4.64,	0.00,	30.76,	0.00,	0,	26.18,	4.19,	34
0.00,	-2,	-2.40,	-2.00,	0.00,	-3.46,	0.00,	27.13,	0.00,	0,	27.62,	3.59,	35
0.00,	-3,	-2.40,	-2.00,	0.00,	-1.45,	0.00,	28.91,	0.00,	0,	25.38,	4.06,	33
0.00,	0,	-1.60,	-2.00,	0.00,	-4.64,	0.00,	29.17,	0.00,	0,	23.37,	4.09,	33
0.00,	-2,	-1.00,	-2.00,	1.00,	-3.32,	0.00,	18.30,	0.00,	0,	26.04,	2.57,	33
0.00,	-2,	-1.80,	-2.00,	0.00,	-0.31,	0.00,	29.64,	0.00,	0,	26.18,	4.16,	33
0.00,	-3,	-2.00,	-2.00,	0.00,	-4.67,	0.00,	27.90,	0.00,	0,	25.51,	4.04,	32
0.00,	0,	-1.40,	-2.00,	0.00,	-2.55,	0.00,	26.26,	0.00,	0,	25.57,	3.68,	33
0.00,	-2,	-1.80,	-2.00,	0.00,	-2.75,	0.00,	30.17,	0.00,	0,	24.45,	4.23,	33
0.00,	-3,	-2.00,	-2.00,	0.00,	-3.39,	0.00,	31.09,	0.00,	0,	23.58,	4.23,	34
0.00,	-1,	-1.80,	-2.00,	0.00,	-1.50,	0.00,	23.71,	0.00,	0,	23.36,	3.43,	32
0.00,	-1,	-1.40,	-1.00,	0.00,	-3.95,	0.00,	28.78,	0.00,	0,	23.59,	4.16,	32
0.00,	-1,	-1.60,	-1.00,	0.00,	-1.73,	0.00,	29.13,	0.00,	0,	25.51,	4.09,	33
0.00,	-4,	-2.00,	-2.00,	0.00,	-3.38,	0.00,	30.04,	0.00,	0,	26.74,	4.09,	34
0.00,	-1,	-1.60,	-1.00,	0.00,	-2.89,	0.00,	29.51,	0.00,	0,	24.22,	4.14,	33
0.00,	0,	-1.40,	-1.00,	0.00,	-4.08,	0.00,	24.73,	0.00,	0,	23.92,	3.37,	34
0.00,	-3,	-1.80,	-1.00,	0.00,	-2.35,	0.00,	25.20,	0.00,	0,	26.60,	3.43,	34
0.00,	-3,	-2.20,	-2.00,	0.00,	-3.05,	0.00,	29.41,	0.00,	0,	24.04,	4.13,	33
0.00,	-2,	-1.80,	-2.00,	0.00,	-3.90,	0.00,	24.71,	0.00,	0,	26.46,	3.47,	33
0.00,	-3,	-2.20,	-2.00,	0.00,	-3.34,	0.00,	29.18,	0.00,	0,	26.74,	4.09,	33
0.00,	-2,	-2.60,	-2.00,	0.00,	-5.05,	0.00,	30.05,	0.00,	0,	26.73,	4.09,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	-3.53,	0.00,	29.72,	0.00,	0,	26.46,	4.17,	33
0.00,	-2,	-2.00,	-2.00,	0.00,	-1.79,	0.00,	29.03,	0.00,	0,	23.15,	4.07,	33
0.00,	-3,	-2.20,	-2.00,	0.00,	-4.01,	0.00,	23.25,	0.00,	0,	26.46,	3.26,	33
