
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-2.60,	-2.00,	0.00,	0.45,	0.00,	0.00,	13.20,	0.00,	0,	25.87,	1.80,	34
0.00,	-4,	-2.20,	-2.00,	0.00,	1.91,	0.00,	0.00,	15.28,	0.00,	0,	25.38,	2.08,	34
0.00,	-7,	-3.80,	-3.00,	0.00,	3.80,	0.00,	0.00,	29.24,	0.00,	0,	26.29,	3.98,	34
0.00,	-2,	-3.40,	-3.00,	0.00,	2.83,	0.00,	0.00,	13.76,	0.00,	0,	24.86,	1.93,	33
0.00,	-3,	-3.60,	-2.00,	0.00,	1.69,	0.00,	0.00,	14.07,	0.00,	0,	24.75,	1.92,	34
0.00,	-5,	-4.20,	-3.00,	0.00,	1.67,	0.00,	0.00,	14.03,	0.00,	0,	26.45,	1.91,	34
0.00,	-4,	-4.20,	-3.00,	0.00,	1.89,	0.00,	0.00,	15.27,	0.00,	0,	27.78,	2.02,	35
0.00,	-2,	-3.20,	-2.00,	0.00,	1.68,	0.00,	0.00,	11.63,	0.00,	0,	24.03,	1.63,	33
0.00,	-2,	-3.20,	-2.00,	0.00,	3.14,	0.00,	0.00,	14.17,	0.00,	0,	24.88,	1.93,	34
0.00,	0,	-2.60,	-2.00,	0.00,	1.33,	0.00,	0.00,	14.78,	0.00,	0,	26.18,	2.01,	34
0.00,	-4,	-2.40,	-2.00,	0.00,	4.32,	0.00,	0.00,	13.73,	0.00,	0,	25.25,	1.87,	34
0.00,	0,	-1.60,	-1.00,	0.00,	0.56,	0.00,	0.00,	14.32,	0.00,	0,	25.00,	1.95,	34
0.00,	-7,	-2.60,	-1.00,	0.00,	0.31,	0.00,	0.00,	13.61,	0.00,	0,	24.75,	1.91,	33
0.00,	-4,	-3.00,	-1.00,	-1.00,	0.43,	0.00,	0.00,	11.12,	0.00,	0,	25.91,	1.56,	33
