
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-6,	-4.20,	-2.00,	-1.00,	4.98,	0.00,	0.00,	15.88,	0.00,	0,	24.63,	2.16,	34
0.00,	-4,	-4.60,	-2.00,	-1.00,	0.59,	0.00,	0.00,	13.09,	0.00,	0,	24.87,	1.78,	34
0.00,	-3,	-3.80,	-2.00,	0.00,	2.26,	0.00,	0.00,	15.54,	0.00,	0,	24.16,	2.12,	34
0.00,	0,	-3.80,	-2.00,	0.00,	3.47,	0.00,	0.00,	14.68,	0.00,	0,	24.27,	2.06,	33
0.00,	-5,	-3.60,	-2.00,	0.00,	-0.12,	0.00,	0.00,	13.12,	0.00,	0,	25.25,	1.79,	34
0.00,	-2,	-2.80,	-2.00,	0.00,	1.29,	0.00,	0.00,	15.32,	0.00,	0,	25.23,	2.03,	35
0.00,	-2,	-2.40,	-2.00,	0.00,	3.21,	0.00,	0.00,	15.74,	0.00,	0,	25.64,	2.08,	35
0.00,	-3,	-2.40,	-2.00,	0.00,	5.67,	0.00,	0.00,	15.60,	0.00,	0,	25.77,	2.06,	35
0.00,	-4,	-3.20,	-2.00,	0.00,	0.27,	0.00,	0.00,	14.17,	0.00,	0,	25.91,	1.93,	34
0.00,	-4,	-3.00,	-2.00,	0.00,	4.13,	0.00,	0.00,	13.18,	0.00,	0,	24.63,	1.79,	34
0.00,	-2,	-3.00,	-2.00,	0.00,	3.02,	0.00,	0.00,	14.08,	0.00,	0,	25.00,	1.98,	33
0.00,	-6,	-3.80,	-2.00,	-1.00,	-0.83,	0.00,	0.00,	15.29,	0.00,	0,	24.04,	2.08,	34
0.00,	-1,	-3.40,	-2.00,	-1.00,	3.55,	0.00,	0.00,	15.86,	0.00,	0,	25.64,	2.16,	34
0.00,	-3,	-3.20,	-2.00,	0.00,	2.37,	0.00,	0.00,	14.42,	0.00,	0,	25.51,	1.96,	34
0.00,	-4,	-3.20,	-2.00,	0.00,	2.13,	0.00,	0.00,	13.39,	0.00,	0,	23.81,	1.88,	33
0.00,	-4,	-3.60,	-2.00,	-1.00,	0.96,	0.00,	0.00,	15.53,	0.00,	0,	24.15,	2.11,	34
0.00,	-5,	-3.40,	-2.00,	-1.00,	-1.72,	0.00,	0.00,	15.14,	0.00,	0,	25.25,	2.06,	34
0.00,	-3,	-3.80,	-2.00,	-1.00,	3.13,	0.00,	0.00,	14.28,	0.00,	0,	25.64,	1.94,	34
