
PID coefficient,Total Power,5 cycles mean power,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-0.80,	0.00,	15.32,	0.00,	0,	25.64,	2.09,	34
0.00,	-3,	-1.40,	0.00,	16.21,	0.00,	0,	24.39,	2.27,	33
0.00,	-2,	-1.60,	0.00,	13.76,	0.00,	0,	24.75,	1.93,	33
0.00,	-2,	-2.00,	0.00,	16.69,	0.00,	0,	24.51,	2.34,	33
0.00,	-3,	-2.60,	0.00,	18.07,	0.00,	0,	25.00,	2.46,	34
0.00,	-1,	-2.20,	0.00,	18.57,	0.00,	0,	26.32,	2.46,	35
0.00,	-4,	-2.40,	0.00,	16.94,	0.00,	0,	25.79,	2.31,	34
0.00,	-2,	-2.40,	0.00,	8.18,	0.00,	0,	25.77,	1.15,	33
0.00,	-6,	-3.20,	0.00,	17.35,	0.00,	0,	24.04,	2.43,	33
0.00,	-3,	-3.20,	0.00,	13.02,	0.00,	0,	25.13,	1.83,	33
0.00,	-2,	-3.40,	0.00,	15.72,	0.00,	0,	23.36,	2.27,	32
0.00,	-4,	-3.40,	0.00,	16.07,	0.00,	0,	24.88,	2.25,	33
0.00,	-1,	-3.20,	0.00,	9.87,	0.00,	0,	25.13,	1.38,	33
0.00,	-4,	-2.80,	0.00,	17.44,	0.00,	0,	24.51,	2.45,	33
