
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-4.60,	-3.00,	-1.00,	0.38,	0.00,	0.00,	16.13,	0.00,	0,	25.48,	2.20,	34
0.00,	-2,	-4.00,	-3.00,	-1.00,	3.55,	0.00,	0.00,	14.51,	0.00,	0,	24.60,	2.04,	33
0.00,	-7,	-4.60,	-2.00,	-1.00,	0.03,	0.00,	0.00,	15.29,	0.00,	0,	27.17,	2.02,	35
0.00,	-5,	-4.20,	-2.00,	-1.00,	1.85,	0.00,	0.00,	13.76,	0.00,	0,	25.64,	1.93,	33
0.00,	-4,	-4.60,	-3.00,	-1.00,	3.04,	0.00,	0.00,	13.84,	0.00,	0,	23.15,	2.00,	32
0.00,	-9,	-5.40,	-3.00,	-2.00,	-3.00,	0.00,	0.00,	13.35,	0.00,	0,	24.88,	1.82,	34
0.00,	-6,	-6.20,	-3.00,	-2.00,	2.82,	0.00,	0.00,	15.57,	0.00,	0,	25.91,	2.12,	34
0.00,	-7,	-6.20,	-3.00,	-2.00,	-1.07,	0.00,	0.00,	15.08,	0.00,	0,	25.92,	2.05,	34
0.00,	-5,	-6.20,	-3.00,	-2.00,	1.56,	0.00,	0.00,	15.23,	0.00,	0,	24.11,	2.14,	33
0.00,	-6,	-6.60,	-3.00,	-3.00,	1.95,	0.00,	0.00,	16.85,	0.00,	0,	23.70,	2.36,	33
0.00,	-2,	-5.20,	-2.00,	-2.00,	-1.14,	0.00,	0.00,	9.14,	0.00,	0,	25.38,	1.28,	33
0.00,	-6,	-5.20,	-3.00,	-2.00,	4.15,	0.00,	0.00,	18.02,	0.00,	0,	27.03,	2.38,	35
0.00,	-5,	-4.80,	-2.00,	-1.00,	0.21,	0.00,	0.00,	15.39,	0.00,	0,	26.88,	2.10,	34
0.00,	-3,	-4.40,	-2.00,	-1.00,	3.81,	0.00,	0.00,	14.06,	0.00,	0,	23.92,	1.97,	33
0.00,	-4,	-4.00,	-2.00,	-1.00,	2.69,	0.00,	0.00,	16.27,	0.00,	0,	25.91,	2.22,	34
0.00,	-5,	-4.60,	-3.00,	-1.00,	1.63,	0.00,	0.00,	11.81,	0.00,	0,	27.03,	1.61,	34
0.00,	-6,	-4.60,	-2.00,	-1.00,	0.54,	0.00,	0.00,	15.25,	0.00,	0,	24.63,	2.14,	33
0.00,	-7,	-5.00,	-3.00,	-1.00,	1.08,	0.00,	0.00,	16.20,	0.00,	0,	25.64,	2.21,	34
0.00,	-6,	-5.60,	-3.00,	-2.00,	1.93,	0.00,	0.00,	15.01,	0.00,	0,	25.91,	2.04,	34
0.00,	-5,	-5.80,	-3.00,	-2.00,	2.32,	0.00,	0.00,	15.69,	0.00,	0,	25.38,	2.14,	34
0.00,	-5,	-5.80,	-3.00,	-2.00,	2.53,	0.00,	0.00,	14.17,	0.00,	0,	24.39,	2.05,	32
0.00,	-4,	-5.40,	-3.00,	-1.00,	4.82,	0.00,	0.00,	16.39,	0.00,	0,	24.75,	2.23,	34
0.00,	-4,	-4.80,	-3.00,	-1.00,	1.72,	0.00,	0.00,	15.19,	0.00,	0,	26.74,	2.07,	34
0.00,	-4,	-4.40,	-3.00,	0.00,	3.17,	0.00,	0.00,	13.63,	0.00,	0,	25.57,	1.97,	32
0.00,	-4,	-4.20,	-3.00,	0.00,	2.83,	0.00,	0.00,	13.07,	0.00,	0,	24.63,	1.83,	33
0.00,	-8,	-4.80,	-3.00,	-1.00,	-0.96,	0.00,	0.00,	13.91,	0.00,	0,	24.88,	1.95,	33
0.00,	-1,	-4.20,	-2.00,	-1.00,	0.27,	0.00,	0.00,	14.83,	0.00,	0,	25.51,	2.08,	33
0.00,	-6,	-4.60,	-2.00,	-1.00,	2.62,	0.00,	0.00,	9.44,	0.00,	0,	24.15,	1.37,	32
0.00,	-6,	-5.00,	-3.00,	-1.00,	5.69,	0.00,	0.00,	15.47,	0.00,	0,	24.75,	2.17,	33
0.00,	-6,	-5.40,	-3.00,	-1.00,	-0.83,	0.00,	0.00,	15.08,	0.00,	0,	25.38,	2.12,	33
0.00,	-7,	-5.20,	-3.00,	-1.00,	3.39,	0.00,	0.00,	12.50,	0.00,	0,	24.51,	1.75,	33
0.00,	-7,	-6.40,	-3.00,	-1.00,	-0.19,	0.00,	0.00,	14.46,	0.00,	0,	25.13,	2.03,	33
0.00,	-4,	-6.00,	-3.00,	-1.00,	1.56,	0.00,	0.00,	15.14,	0.00,	0,	25.23,	2.12,	33
0.00,	-6,	-6.00,	-3.00,	-2.00,	2.32,	0.00,	0.00,	16.55,	0.00,	0,	25.82,	2.25,	34
0.00,	-6,	-6.00,	-3.00,	-2.00,	0.54,	0.00,	0.00,	15.61,	0.00,	0,	24.99,	2.19,	33
0.00,	-2,	-5.00,	-3.00,	-1.00,	3.20,	0.00,	0.00,	11.32,	0.00,	0,	25.48,	1.59,	33
