
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-2.80,	-3.00,	0.00,	5.76,	0.00,	0.00,	15.28,	0.00,	0,	24.88,	2.14,	33
0.00,	-4,	-3.20,	-3.00,	0.00,	1.82,	0.00,	0.00,	15.47,	0.00,	0,	25.00,	2.17,	33
0.00,	-2,	-2.80,	-2.00,	0.00,	-0.90,	0.00,	0.00,	10.38,	0.00,	0,	24.88,	1.41,	34
0.00,	-4,	-3.40,	-2.00,	0.00,	4.33,	0.00,	0.00,	15.54,	0.00,	0,	26.46,	2.12,	34
0.00,	-8,	-4.60,	-3.00,	-1.00,	2.19,	0.00,	0.00,	14.51,	0.00,	0,	25.00,	2.04,	33
0.00,	-3,	-4.20,	-2.00,	-1.00,	3.88,	0.00,	0.00,	16.57,	0.00,	0,	25.13,	2.40,	32
0.00,	-2,	-3.80,	-3.00,	0.00,	4.47,	0.00,	0.00,	16.54,	0.00,	0,	24.39,	2.32,	33
0.00,	-4,	-4.20,	-3.00,	0.00,	1.99,	0.00,	0.00,	16.30,	0.00,	0,	24.88,	2.22,	34
0.00,	-4,	-4.20,	-3.00,	0.00,	1.15,	0.00,	0.00,	12.60,	0.00,	0,	24.63,	1.77,	33
0.00,	-4,	-3.40,	-3.00,	0.00,	5.04,	0.00,	0.00,	14.77,	0.00,	0,	25.59,	2.07,	33
0.00,	-1,	-3.00,	-3.00,	0.00,	5.22,	0.00,	0.00,	12.80,	0.00,	0,	23.58,	1.80,	33
0.00,	-2,	-3.00,	-2.00,	0.00,	2.36,	0.00,	0.00,	14.24,	0.00,	0,	24.04,	2.06,	32
0.00,	-3,	-2.80,	-2.00,	0.00,	3.35,	0.00,	0.00,	16.48,	0.00,	0,	25.77,	2.24,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	3.65,	0.00,	0.00,	14.31,	0.00,	0,	23.81,	2.07,	32
0.00,	-3,	-2.00,	-2.00,	0.00,	1.77,	0.00,	0.00,	16.10,	0.00,	0,	23.38,	2.26,	33
0.00,	-4,	-2.60,	-2.00,	0.00,	1.63,	0.00,	0.00,	13.80,	0.00,	0,	24.27,	1.94,	33
0.00,	-3,	-2.80,	-2.00,	0.00,	3.64,	0.00,	0.00,	16.36,	0.00,	0,	25.38,	2.23,	34
0.00,	-1,	-2.40,	-2.00,	0.00,	3.92,	0.00,	0.00,	16.91,	0.00,	0,	26.04,	2.30,	34
0.00,	0,	-2.20,	-2.00,	0.00,	2.26,	0.00,	0.00,	11.85,	0.00,	0,	25.31,	1.66,	33
0.00,	-2,	-2.00,	-2.00,	0.00,	6.06,	0.00,	0.00,	16.11,	0.00,	0,	25.64,	2.26,	33
0.00,	-4,	-2.00,	-2.00,	0.00,	1.86,	0.00,	0.00,	14.75,	0.00,	0,	25.12,	2.07,	33
0.00,	-4,	-2.20,	-2.00,	0.00,	2.92,	0.00,	0.00,	12.52,	0.00,	0,	24.14,	1.76,	33
0.00,	-2,	-2.40,	-2.00,	0.00,	4.19,	0.00,	0.00,	16.20,	0.00,	0,	24.88,	2.21,	34
0.00,	-6,	-3.60,	-3.00,	0.00,	0.44,	0.00,	0.00,	16.05,	0.00,	0,	25.91,	2.19,	34
0.00,	-5,	-4.20,	-3.00,	0.00,	6.19,	0.00,	0.00,	25.92,	0.00,	0,	24.93,	3.64,	33
0.00,	-1,	-3.60,	-3.00,	0.00,	6.43,	0.00,	0.00,	16.23,	0.00,	0,	25.38,	2.21,	34
0.00,	-3,	-3.40,	-3.00,	0.00,	6.25,	0.00,	0.00,	8.67,	0.00,	0,	25.23,	1.22,	33
0.00,	-2,	-3.40,	-3.00,	0.00,	4.63,	0.00,	0.00,	15.97,	0.00,	0,	25.12,	2.24,	33
0.00,	-1,	-2.40,	-3.00,	0.00,	-0.78,	0.00,	0.00,	15.58,	0.00,	0,	25.25,	2.12,	34
0.00,	0,	-1.40,	-2.00,	0.00,	3.02,	0.00,	0.00,	13.87,	0.00,	0,	25.51,	1.89,	34
0.00,	-4,	-2.00,	-2.00,	0.00,	7.54,	0.00,	0.00,	14.98,	0.00,	0,	25.00,	2.10,	33
0.00,	-2,	-1.80,	-2.00,	0.00,	2.86,	0.00,	0.00,	14.14,	0.00,	0,	23.58,	2.05,	32
0.00,	-3,	-2.00,	-2.00,	0.00,	4.02,	0.00,	0.00,	10.80,	0.00,	0,	24.51,	1.56,	32
0.00,	-6,	-3.00,	-3.00,	0.00,	4.37,	0.00,	0.00,	14.64,	0.00,	0,	25.00,	2.05,	33
