
Left power from force,Vector size

-3.5942,	69
-3.4737,	76
-1.8947,	76
-4.6377,	69
-1.4079,	76
-3.4474,	76
-2.3816,	76
-2.0750,	80
-2.6456,	79
-0.9200,	75
-4.0714,	70
-1.5921,	76
-1.9079,	76
-2.7778,	72
-3.2603,	73
-2.9474,	76
-0.8421,	76
-3.8986,	69
-2.5000,	76
-2.5000,	76
-3.0395,	76
-2.6974,	76
-3.0833,	72
-1.8356,	73
-1.8947,	76
-3.1842,	76
-3.0263,	76
-4.1579,	76
-2.7237,	76
-5.3758,	149
-140.0000,	1
7.6667,	33
2.1268,	71
-8.5000,	16
-3.2027,	74
-3.0145,	69
-3.0290,	69
-2.9000,	70
-3.5797,	69
-3.1304,	69
2.4583,	48
-12.0476,	21
-3.6087,	69
-3.0145,	69
-2.0145,	69
-4.6184,	76
-3.2895,	76
-3.4079,	76
-2.0789,	76
-2.8684,	76
-3.0000,	76
-2.8816,	76
-4.0000,	76
-3.5395,	76
-3.9605,	76
-3.7368,	76
-3.8553,	76
-2.4658,	73
-4.1111,	72
-3.7971,	69
-3.8158,	76
-3.5362,	69
-3.1579,	76
-2.8289,	76
-2.1974,	76
-2.5658,	76
-4.7237,	76
-3.3553,	76
-4.1053,	76
-2.7500,	76
-3.3158,	76
-4.8289,	76
-2.4605,	76
-4.5263,	76
